Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build
AT&T,Samsung,Galaxy Note Edge,2016-12-08,2016-11-01,37.0,False,N915AUCS2DPK2 MMB29M.N915AUCS2DPK2 nan
AT&T,LG,LG V10,2016-12-12,2016-11-01,41.0,False,MPSS.BO.2.5.c10.1-00024-M8992FAAAANAZM-1.55482.1.56599.1 MRA58K H90021y
AT&T,LG,LG G4,2016-12-12,2016-11-01,41.0,False,MPSS.BO.2.5.c3-00128-M8992FAAAANAZM-1.50758.1 MRA58K H81022d
AT&T,ZTE,ZTE Maven,2016-12-12,2016-11-01,41.0,False,Z812H01 Z812V1.0.0B25 nan
AT&T,Kyocera,Kyocera DuraForce PRO 2,2016-12-14,2016-10-05,70.0,False,nan nan 1.100AT
AT&T,Samsung,Galaxy S6 active,2016-12-19,2016-11-01,48.0,False,G890AUCS5CPK5 MMB29K.G890AUCS5CPK5 nan
AT&T,Samsung,Galaxy S5 Active,2016-12-19,2016-11-01,48.0,False,G870AUCS2DPK3 MMB29M.G870AUCS2DPK3 nan
AT&T,LG,LG V20,2017-01-10,2016-12-01,40.0,False,MPSS.TH.2.0.1.c3-00045-M8996FAAAANAZM-1 NRD90M H91010r
AT&T,LG,LG V20,2017-01-10,2017-01-01,9.0,False,MPSS.TH.2.0.1.c3-00045-M8996FAAAANAZM-1 NRD90M H91010q
AT&T,Samsung,Galaxy Note 4,2017-01-12,2016-12-01,42.0,False,N910AUCS2EPK3 MMB29M.N910AUCS2EPK3 nan
AT&T,Samsung,Galaxy Note Edge,2017-01-12,2016-12-01,42.0,False,N915AUCS2DPK3 MMB29M.N915AUCS2DPK3 nan
AT&T,Samsung,Galaxy S6,2017-01-12,2016-12-01,42.0,False,G920AUCS5DPK5 MMB29K.G920AUCS5DPK5 nan
AT&T,Samsung,Galaxy S6 edge,2017-01-12,2016-12-01,42.0,False,G925AUCS5DPK5 MMB29K.G925AUCS5DPK5 nan
AT&T,Samsung,Galaxy S6 active,2017-01-12,2016-12-01,42.0,False,G890AUCS6CPK8 MMB29K.G890AUCS6CPK8 nan
AT&T,Samsung,Galaxy S5 Active,2017-01-12,2016-12-01,42.0,False,G870AUCS2DPK4 MMB29M.G870AUCS2DPK4 nan
AT&T,Huawei,Huawei Ascend XT,2017-01-16,2016-12-01,46.0,False,20234 H1611C07B170 nan
AT&T,Samsung,Galaxy Note 5,2017-01-16,2016-12-01,46.0,False,N920AUCS4CQB2 MMB29K.N920AUCS4CQB2 nan
AT&T,Samsung,Galaxy S6 edge+,2017-01-16,2016-12-01,46.0,False,G928AUCS4CQB2 MMB29K.G928AUCS4CQB2 nan
AT&T,Samsung,Galaxy S6 edge,2017-02-01,2017-01-01,31.0,False,G925AUCS6DQC1 MMB29K.G925AUCS6DQC1 nan
AT&T,Samsung,Galaxy Note Edge,2017-02-01,2017-01-01,31.0,False,N915AUCS2DPK4 MMB29M.N915AUCS2DPK4 nan
AT&T,Samsung,Galaxy S5,2017-02-01,2017-01-01,31.0,False,G900AUCU4DQB1 MMB29M.G900AUCS4DQB1 nan
AT&T,Samsung,Galaxy S5 Active,2017-02-01,2017-01-01,31.0,False,G870AUCS2DPK5 MMB29M.G870AUCS2DPK5 nan
AT&T,Samsung,Galaxy Note 4,2017-02-06,2017-01-01,36.0,False,N910AUCS2EPK4 MMB29M.N910AUCS2EPK4 nan
AT&T,Samsung,Galaxy S6,2017-02-08,2017-01-01,38.0,False,G920AUCU5DQB3 MMB29K.G920AUCU5DQB3 nan
AT&T,Samsung,Galaxy S6 active,2017-02-08,2017-01-01,38.0,False,G890AUCU6DQD1 NRD90M.G890AUCU6DQD1 nan
AT&T,Samsung,Galaxy S6 edge+,2017-02-08,2017-01-01,38.0,False,G928AUCU4EQC6 NRD90M.G928AUCU4EQC6 nan
AT&T,Samsung,Galaxy Note 5,2017-02-08,2017-01-01,38.0,False,N920AUCU4EQC6 NRD90M.N920AUCU4EQC6 nan
AT&T,LG,LG V10,2017-02-14,2017-01-01,44.0,False,MPSS.BO.2.5.c10.1-00024-M8992FAAAANAZM-1.55482.1.56599.1 MRA58K H90021z
AT&T,Samsung,Galaxy S7 edge,2017-02-17,2017-02-01,16.0,False,G935AUCS4BQC2 NRD90M.G935AUCS4BQC2 nan
AT&T,LG,LG G5,2017-02-20,2017-01-01,50.0,False,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.72241.1.75329.1 NRD90U H82020n
AT&T,Samsung,Galaxy J3 (2016),2017-02-23,2017-01-01,53.0,False,J320AUCU2AQC1 MMB29K.J320AUCU2AQC1 nan
AT&T,Samsung,Galaxy Express prime,2017-02-23,2017-01-01,53.0,False,J320AUCS3AQG1 MMB29K.J320AUCS3AQG1 nan
AT&T,Samsung,Galaxy Express 3,2017-02-23,2017-01-01,53.0,False,J120AUCU2AQC1 MMB29K.J120AUCU2AQC1 nan
AT&T,Samsung,Galaxy S5 Active,2017-03-10,2017-02-01,37.0,False,G870AUCS2DPK7 MMB29M.G870AUCS2DPK7 nan
AT&T,Samsung,Galaxy S6,2017-03-10,2017-02-01,37.0,False,G920AUCS6DQC1 MMB29K.G920AUCS6DQC1 nan
AT&T,Samsung,Galaxy S5,2017-03-10,2017-02-01,37.0,False,G900AUCS4DQC1 MMB29M.G900AUCS4DQC1 nan
AT&T,Samsung,Galaxy Note 4,2017-03-10,2017-02-01,37.0,False,N910AUCS2EPK5 MMB29M.N910AUCS2EPK5 nan
AT&T,Samsung,Galaxy Note Edge,2017-03-10,2017-02-01,37.0,False,N915AUCS2DPK5 MMB29M.N915AUCS2DPK5 nan
AT&T,Samsung,Galaxy Note 5,2017-03-10,2017-02-01,37.0,False,N920AUCS4EQD1 NRD90M.N920AUCS4EQD1 nan
AT&T,Samsung,Galaxy S6 edge+,2017-03-20,2017-02-01,47.0,False,G928AUCS4EQD1 NRD90M.G928AUCS4EQD1 nan
AT&T,ZTE,ZTE Maven,2017-03-21,2017-03-01,20.0,False,Z812H01 Z812V1.0.0B26 nan
AT&T,Samsung,Galaxy Note9,2017-03-23,2017-03-01,22.0,True,nan QP1A.190711.020.N960USQS3DTB1File nan
AT&T,LG,LG G5,2017-03-23,2017-03-01,22.0,False,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.75329.1.104781.1 NRD90U H82020o
