Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build,Year_Phone_Release,Month_Phone_Release,checker
Verizon,BlackBerry,PRIV,2018-05-22,2018-05-01,21,, AAV985 AAV985,2015,10,01
Verizon,BlackBerry,Z10,2018-06-01,2018-06-01,0,True,,2013,1,01
Verizon,BlackBerry,Z30,2018-06-01,2018-06-01,0,True,,2013,10,01
Verizon,Google,Pixel,2019-03-04,2019-03-01,3,False,,2016,10,05
Verizon,Google,Pixel,2019-04-01,2019-04-01,0,False,,2016,10,05
Verizon,Google,Pixel,2019-05-06,2019-05-01,5,False,,2016,10,01
Verizon,Google,Pixel,2019-09-03,2019-09-01,2,False,,2016,10,01
Verizon,Google,Pixel,2019-10-07,2019-10-01,6,False,,2016,10,01
Verizon,Google,Pixel,2019-12-02,2019-12-01,1,False,,2016,10,01
Verizon,Google,Pixel 2,2019-03-04,2019-03-01,3,False,,2017,10,05
Verizon,Google,Pixel 2,2019-04-01,2019-04-01,0,False,,2017,10,05
Verizon,Google,Pixel 2,2019-05-06,2019-05-01,5,False,,2017,10,01
Verizon,Google,Pixel 2,2019-08-05,2019-08-01,4,, PQ3A.190801.002 PQ3A.190801.002,2017,10,01
Verizon,Google,Pixel 2,2019-09-03,2019-09-01,2,, QP1A.190711.020 QP1A.190711.020,2017,10,01
Verizon,Google,Pixel 2,2019-10-07,2019-10-01,6,False,,2017,10,01
Verizon,Google,Pixel 2,2019-11-04,2019-11-01,3,False,,2017,10,01
Verizon,Google,Pixel 2 XL,2019-03-04,2019-03-01,3,False,,2017,10,05
Verizon,Google,Pixel 2 XL,2019-04-01,2019-04-01,0,False,,2017,10,05
Verizon,Google,Pixel 2 XL,2019-05-06,2019-05-01,5,False,,2017,10,01
Verizon,Google,Pixel 2 XL,2019-08-05,2019-08-01,4,, PQ3A.190801.002 PQ3A.190801.002,2017,10,01
Verizon,Google,Pixel 2 XL,2019-09-03,2019-09-01,2,, QP1A.190711.020 QP1A.190711.020,2017,10,01
Verizon,Google,Pixel 2 XL,2019-10-07,2019-10-01,6,False,,2017,10,01
Verizon,Google,Pixel 2 XL,2019-11-04,2019-11-01,3,False,,2017,10,01
Verizon,Google,Pixel 2 XL,2019-12-02,2019-12-01,1,False,,2017,10,01
Verizon,Google,Pixel 3,2019-03-04,2019-03-01,3,False,,2018,11,05
Verizon,Google,Pixel 3,2019-04-01,2019-04-01,0,False,,2018,11,05
Verizon,Google,Pixel 3,2019-05-06,2019-05-01,5,False,,2018,11,01
Verizon,Google,Pixel 3,2019-09-03,2019-09-01,2,, QP1A.190711.020 QP1A.190711.020,2018,11,01
Verizon,Google,Pixel 3,2019-10-07,2019-10-01,6,False,,2018,11,01
Verizon,Google,Pixel 3,2019-11-04,2019-11-01,3,False,,2018,11,01
Verizon,Google,Pixel 3,2019-12-02,2019-12-01,1,False,,2018,11,01
Verizon,Google,Pixel 3 XL,2019-03-04,2019-03-01,3,False,,2018,11,05
Verizon,Google,Pixel 3 XL,2019-04-01,2019-04-01,0,False,,2018,11,05
Verizon,Google,Pixel 3 XL,2019-05-06,2019-05-01,5,False,,2018,11,01
Verizon,Google,Pixel 3 XL,2019-09-03,2019-09-01,2,, QP1A.190711.020 QP1A.190711.020,2018,11,01
Verizon,Google,Pixel 3 XL,2019-10-07,2019-10-01,6,False,,2018,11,01
Verizon,Google,Pixel 3 XL,2019-11-04,2019-11-01,3,False,,2018,11,01
Verizon,Google,Pixel 3 XL,2019-12-02,2019-12-01,1,False,,2018,11,01
Verizon,Google,Pixel 3a,2019-09-03,2019-09-01,2,, QP1A.190711.020 QP1A.190711.020,2019,5,01
Verizon,Google,Pixel 3a,2019-10-07,2019-10-01,6,False,,2019,5,01
Verizon,Google,Pixel 3a,2019-11-04,2019-11-01,3,False,,2019,5,01
