phone_model,carrier,android_os,carrier_release,security_patch,difference,Locked
Galaxy S10+,AT&T,9,2019-04-12,2019-03-01,42,False
Galaxy S10+,AT&T,9,2019-03-09,2019-02-01,36,False
Galaxy S7,Sprint,8.0.0,2019-04-08,2019-03-01,38,False
Galaxy Note 10,Sprint,10,2020-01-06,2020-01-01,5,False
Galaxy Note 10,Sprint,10,2019-12-31,2019-12-01,30,False
Galaxy Note 10,Sprint,9,2019-12-03,2019-12-01,2,False
Galaxy Note 10,Sprint,9,2019-11-02,2019-11-01,1,False
Galaxy Note 10,Sprint,9,2019-10-31,2019-10-01,30,False
Galaxy Note 10,Sprint,9,2019-10-10,2019-10-01,9,False
Galaxy Note 10,Sprint,9,2019-09-23,2019-09-01,22,False
Galaxy Note 10,Sprint,9,2019-08-21,2019-08-01,20,False
Galaxy A50,Unbranded,9,2020-01-06,2020-01-01,5,False
Galaxy A50,Unbranded,9,2019-12-03,2019-12-01,2,False
Galaxy A50,Unbranded,9,2019-11-04,2019-11-01,3,False
Galaxy A50,Unbranded,9,2019-11-01,2019-10-01,31,False
Galaxy A50,Unbranded,9,2019-10-07,2019-10-01,6,False
Galaxy S8+,Verizon,9,2020-01-29,2020-01-01,28,False
Galaxy S8+,Verizon,9,2019-12-23,2019-12-01,22,False
Galaxy S8+,Verizon,9,2019-11-22,2019-11-01,21,False
Galaxy S8+,Verizon,9,2019-11-13,2019-10-01,43,False
Galaxy S8+,Verizon,9,2019-10-23,2019-10-01,22,False
Galaxy S8+,Verizon,9,2019-09-30,2019-09-01,29,False
Galaxy S8+,Verizon,9,2019-08-28,2019-08-01,27,False
Galaxy S8+,Verizon,9,2019-07-29,2019-07-01,28,False
Galaxy S8+,Verizon,9,2019-07-02,2019-06-01,31,False
Galaxy S8+,Verizon,9,2019-06-03,2019-04-01,63,False
Galaxy S8+,Verizon,9,2019-04-08,2019-03-01,38,False
Galaxy S8+,Verizon,8.0.0,2019-03-05,2019-02-01,32,False
Galaxy S8+,Verizon,8.0.0,2018-12-31,2018-12-01,30,False
Galaxy S8+,Verizon,8.0.0,2018-12-14,2018-11-01,43,False
Galaxy S8+,Verizon,8.0.0,2018-10-31,2018-10-01,30,False
Galaxy S8+,Verizon,8.0.0,2018-09-27,2018-09-01,26,False
Galaxy S8+,Verizon,8.0.0,2018-09-04,2018-08-01,34,False
Galaxy S9,Verizon,9,2019-12-23,2019-12-01,22,False
Galaxy S9,Verizon,9,2019-12-02,2019-11-01,31,False
Galaxy S9,Verizon,9,2019-11-01,2019-10-01,31,False
Galaxy S9,Verizon,9,2019-09-18,2019-09-01,17,False
Galaxy S9,Verizon,9,2019-09-05,2019-08-01,35,False
Galaxy S9,Verizon,9,2019-08-19,2019-08-01,18,False
Galaxy S9,Verizon,9,2019-07-29,2019-07-01,28,False
Galaxy S9,Verizon,9,2019-07-09,2019-06-01,38,False
Galaxy S9,Verizon,9,2019-04-30,2019-04-01,29,False
Galaxy S9,Verizon,9,2019-04-09,2019-03-01,39,False
Galaxy S9,Verizon,9,2019-03-05,2019-02-01,32,False
Galaxy S9,Verizon,9,2019-02-18,2019-01-01,48,False
