Manufacture,Device Model,Released Date,Released OS,Current Supported OS,Reference Source,Android One
Sony Mobile,Sony Xperia XZ1,2017/08,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-103,0
Sony Mobile,Sony Xperia Z,2013/02,Android 4.3.1 (Jelly Bean),Android 5.1.1 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-104,0
Sony Mobile,Sony Xperia Z1,2013/09,Android 4.3.1 (Jelly Bean),Android 5.1 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-105,0
Sony Ericsson,Sony Ericsson Xperia Play,2011/04,Android 2.3.4 (Gingerbread),Android 2.3.4 (Gingerbread),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-99,0
Sony Ericsson,Sony Ericsson Xperia pro,2011/10,Android 2.3 (Gingerbread),Android 4.0 (Ice Cream Sandwich),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-100,0
Sony Ericsson,Sony Ericsson Xperia X10,2010/03,Android 1.6 (Donut),Android 2.3 (Gingerbread),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-101,0
Sony Ericsson,Sony Ericsson Xperia X8,2010/06,Android 1.6 (Donut),Android 2.1 (Eclair),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-102,0
Samsung/Google,Nexus S,2010/12,Android 2.3.7 (Gingerbread),Android 4.1.2 (Jelly Bean),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-42,0
Samsung/Google,Galaxy Nexus,2011/11,Android 4.0 (Ice Cream Sandwich),Android 2.3 (Gingerbread),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-43,0
Samsung,Galaxy,2009/04,Android 1.5 (Cupcake),Android 1.5 (Cupcake),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-83,0
Samsung,Galaxy S,2010/06,Android 2.1 (Eclair),Android 2.1 (Eclair),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-84,0
Samsung,Galaxy S2,2011/04,Android 2.3.4 (Gingerbread),4.1 (Jelly Bean),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-85,0
Samsung,Galaxy S3,2012/05,Android 4.0 (Ice Cream Sandwich),4.3 (Jelly Bean),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-86,0
Samsung,Galaxy S4,2013/04,Android 4.3.1 (Jelly Bean),5.0.1 (Lollipop),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-87,0
Samsung,Galaxy S5,2014/04,Android 4.4 (KitKat),6.0 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-88,0
Samsung,Galaxy S6,2015/04,Android 5.0 (Lollipop),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-89,0
Samsung,Galaxy S6 Edge,2015/04,Android 5.0 (Lollipop),7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-90,0
Samsung,Galaxy S6 Edge+,2015/08,Android 5.0 (Lollipop),7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-91,0
Samsung,Galaxy S7,2016/03,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-92,0
Samsung,Galaxy S7 Edge,2016/03,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-93,0
Samsung,Galaxy S8,2017/04,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-94,0
Samsung,Galaxy S8+,2017/04,Android 7.0 (Nougat),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-95,0
Samsung,Galaxy Note8,2017/08,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-96,0
Panasonic,Panasonic P100,2018/02,Android 7.0 (Nougat),Android 7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-82,0
OnePlus,OnePlus One,2014/04,Android 4.4 (KitKat),6.0.1 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-73,0
OnePlus,OnePlus 2,2015/07,Android 5.0 (Lollipop),6.0.1 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-74,0
OnePlus,OnePlus X,2015/10,Android 5.0 (Lollipop),6.0.1 (Marshmallow),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-75,0
OnePlus,OnePlus 3,2016/06,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-76,0
OnePlus,OnePlus 3T,2016/11,Android 6.0 (Marshmallow),Android 8.0 (Oreo),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-77,0
OnePlus,OnePlus 5,2017/06,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-78,0
OnePlus,OnePlus 5T,2017/11,Android 7.0 (Nougat),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-79,0
OnePlus,OnePlus 6,2018/04,Android 8.0 (Oreo),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-80,0
OnePlus,OnePlus 6T,2018/11,Android 9.0 (Pie),Android 9.0 (Pie),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-81,0
Nokia,Nokia X,2014/02,Android 4.3.1 (Jelly Bean),Android 4.1.2 (Jelly Bean),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-49,0
Nextbit,Nextbit Robin,2016/02,Android 5.0 (Lollipop),Android 7.1.1 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-40,0
Motorola/Google,Nexus 6,2014/11,Android 5.0 (Lollipop),Android 7.1.1 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-46,0
Motorola,Moto C,2017/05,Android 7.0 (Nougat),Android 7.0 (Nougat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-19,0
